SPECIES_CLEAN;SPECIES_AI_Correct;Justification
ANOPHELES BRAZILIENSIS;Anopheles (Nyssorhynchus) braziliensis (Chagas, 1907);The species was originally described by Chagas (1907) as Cellia braziliensis. It was subsequently reassigned to the genus Anopheles and placed within the subgenus Nyssorhynchus. It belongs to the Argyritarsis Section and the Braziliensis Series. While some recent phylogenies proposed elevating Nyssorhynchus to genus rank (Foster et al., 2017), the consensus in many applied entomological frameworks remains the use of Anopheles (Nyssorhynchus) braziliensis. The species is morphologically distinct, particularly in the larval and pupal stages, and is recognized as a valid taxonomic entity in the Walter Reed Biosystematics Unit (WRBU) databases and the Systematic Catalog of Culicidae.
ANOPHELES SPP;Anopheles Meigen, 1818;"The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is the type genus of the subfamily Anophelinae (Family: Culicidae). Currently, the genus comprises over 460 formally recognized species and numerous species complexes. The designation ""spp."" is a collective botanical and zoological abbreviation used to refer to multiple species within this genus when individual identification is not specified or required. Taxonomically, the genus is divided into several subgenera, including Anopheles, Cellia, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia (Meigen, 1818; Harbach, 2013)."
ANOPHELES MEDIOPUNCTATUS;Anopheles (Lophopodomyia) mediopunctatus (Lutz, 1910);Anopheles mediopunctatus was originally described by Lutz (1910) as Cycloleppteron mediopunctatus. It is currently recognized as the type species of the subgenus Lophopodomyia Antunes, 1937. The species status was clarified and revalidated through a comprehensive taxonomic revision of the subgenus Lophopodomyia conducted by Sallum, Wilkerson, and Forattini (2000). This revision utilized morphological characters of the male genitalia, larvae, and pupae to distinguish An. mediopunctatus from closely related and often misidentified species such as An. costai and An. forattinii.
ANOPHELES MINOR;Anopheles (Lophopodomyia) minor Costa Lima, 1929;"Anopheles minor was formally described by Costa Lima (1929) based on specimens collected in Brazil. It is a valid species within the subgenus Lophopodomyia. Taxonomic stability for this taxon is maintained through the morphological characterization of the adult stage, particularly the male genitalia and the thoracic scales, which distinguish it from other species in the same subgenus, such as An. gilesi (Costa Lima, 1929; Lane, 1953)."
ANOPHELES LANEI;Anopheles (Nyssorhynchus) lanei Galvão & Amaral, 1938;The species was formally described by Galvão and Amaral (1938) based on specimens collected from the state of São Paulo, Brazil. It is taxonomically situated within the Argyritarsis Section of the subgenus Nyssorhynchus. While some recent phylogenetic classifications (Foster et al., 2017) propose elevating Nyssorhynchus to the genus level, the name Anopheles lanei remains the standard reference in most entomological and medical literature within the traditional classification framework.
ANOPHELES ANTUNESI;Anopheles (Lophopodomyia) antunesi Galvão & Amaral, 1940;"Anopheles antunesi is recognized as a valid species belonging to the subgenus Lophopodomyia. It was originally described by Galvão and Amaral (1940) based on specimens collected in the state of São Paulo, Brazil. The species is morphologically distinct within its subgenus, particularly characterized by the scaling patterns on the legs and specific male genitalia structures. Its taxonomic status has been maintained in major revisions of the Anophelinae subfamily (Knight & Stone, 1977; Harbach, 2004)."
ANOPHELES GILESI;Anopheles (Anopheles) gilesi Peryassú, 1908;"Anopheles gilesi was originally described by Peryassú in 1908. It is currently recognized as a valid species belonging to the subgenus Anopheles, specifically within the Arribalzagia Series. This series is characterized by specific wing spot patterns and male genitalic features. Taxonomic stability has been maintained through various revisions of the Neotropical Anopheles fauna, confirming its distinct morphological identity from closely related species such as Anopheles intermedius and Anopheles punctimacula (Peryassú, 1908; Wilkerson & Sallum, 1999)."
CHAGASIA ROZEBOOMI;Chagasia rozeboomi Causey, Deane & Deane, 1945;This species was formally described and established by Causey, Deane, and Deane (1945) based on morphological characteristics observed in specimens from Ceará, Brazil. It is currently recognized as a valid species within the genus Chagasia (Subfamily Anophelinae). Unlike other members of the subfamily, the genus Chagasia is considered more primitive, and C. rozeboomi is distinguished from its congeners (such as C. bathana or C. fajardi) by specific patterns in the wing scales and male genitalia.
NYSSORHYNCHUS ROZEBOOMI;Anopheles (Nyssorhynchus) rozeboomi Causey, Bramwell & Deane, 1944;This taxon is frequently confused with Chagasia rozeboomi Gabaldón et al., 1940. Causey et al. described only an Anopheles in 1944. Any attribution by Causey to the genus Chagasia is a bibliographic error. The Anopheles status is maintained for specimens from project PINV01-528 collected in malaria transmission areas.
ANOPHELES LUTZI;Anopheles (Myzorhynchella) lutzii Cruz, 1901;"The species was originally described as Anopheles lutzii by Oswaldo Cruz in 1901. It is currently recognized as the type species of the subgenus Myzorhynchella Theobald. There has been historical nomenclatural confusion with Anopheles lutzi Theobald, 1901; however, Theobald's name is considered a junior secondary homonym and a synonym of Anopheles (Kerteszia) cruzii Dyar & Knab, 1908. In contrast, Anopheles lutzii Cruz, 1901 remains a valid and distinct taxon within the Myzorhynchella Series (Wilkerson & Sallum, 1999)."
ANOPHELES CHAGASIA ROOZEBOMII;Anopheles (Nyssorhynchus) rozeboomi Causey, Bramwell & Deane, 1944;This taxon is frequently confused with Chagasia rozeboomi Gabaldón et al., 1940. Causey et al. described only an Anopheles in 1944. Any attribution by Causey to the genus Chagasia is a bibliographic error. The Anopheles status is maintained for specimens from project PINV01-528 collected in malaria transmission areas.
ANOPHELES;Anopheles Meigen, 1818;The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is currently the most significant genus within the subfamily Anophelinae (Family: Culicidae). The classification is based on morphological characteristics such as the length of the maxillary palps in both sexes (roughly equal to the proboscis) and the absence of a trilobed scutellum. This taxonomic status is consistently validated in the Mosquito Taxonomic Inventory (Harbach, 2024), maintaining its position as a monophyletic group comprising seven subgenera: Anopheles, Bironella, Christya, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia.
OCHLEROTATUS SCAPULARIS;Aedes (Ochlerotatus) scapularis (Rondani, 1848);The species was originally described as Culex scapularis by Rondani in 1848. For much of the 20th century, it was classified within the genus Aedes. Following the taxonomic reclassification proposed by Reinert (2000), the subgenus Ochlerotatus was elevated to generic rank, leading to the combination Ochlerotatus scapularis. However, subsequent phylogenetic analyses and a push for taxonomic stability led Wilkerson et al. (2015) to propose returning Ochlerotatus to subgeneric status within Aedes. Currently, most international databases and entomological authorities, such as the Walter Reed Biosystematics Unit (WRBU), recognize the valid name as Aedes scapularis.
ANOPHELES SSP;Anopheles Meigen, 1818;The genus Anopheles was established by Johann Wilhelm Meigen in 1818. It is currently the most significant genus within the subfamily Anophelinae (Family: Culicidae). The classification is based on morphological characteristics such as the length of the maxillary palps in both sexes (roughly equal to the proboscis) and the absence of a trilobed scutellum. This taxonomic status is consistently validated in the Mosquito Taxonomic Inventory (Harbach, 2024), maintaining its position as a monophyletic group comprising seven subgenera: Anopheles, Bironella, Christya, Kerteszia, Lophopodomyia, Nyssorhynchus, and Stethomyia.
LUTZOMYIA LONGIPALPIS;Lutzomyia longipalpis (Lutz & Neiva, 1912);The species was originally described as Phlebotomus longipalpis by Lutz and Neiva in 1912 based on specimens collected in Brazil. It was later reassigned to the genus Lutzomyia by França (1924) and remains the type species of the genus. Current taxonomic consensus acknowledges that Lutzomyia longipalpis represents a complex of sibling species rather than a single monotypic taxon, evidenced by variations in male pheromones, acoustic signals, and molecular markers (Arrivillaga & Feliciangeli, 2001). However, until these members are formally described as individual species, Lutzomyia longipalpis remains the valid taxonomic name used in medical and entomological literature.
NYSSOMYIA NEIVAI;Nyssomyia neivai (Pinto, 1926);The species was originally described as Phlebotomus neivai by Pinto (1926). For several decades, it was considered a junior synonym of Nyssomyia intermedia (Lutz & Neiva, 1912). However, Marcondes (1996) conducted a detailed morphological and morphometric revision of the intermedia complex, resurrecting Nyssomyia neivai (formerly Lutzomyia neivai) as a valid species. The classification under the genus Nyssomyia follows the taxonomic arrangement proposed by Galati (2003), based on phylogenetic analyses of the subtribe Psychodopygina.
LUTZOMYIA SHANNONI;Psathyromyia (Psathyromyia) shannoni (Dyar, 1929);"The species was originally described as Phlebotomus shannoni by Dyar in 1929. Following the taxonomic revisions of the subfamily Phlebotominae, it was long included in the genus Lutzomyia, subgenus Psathyromyia (Young & Duncan, 1994). However, current phylogenetic classifications and morphological revisions (Galati, 2003; 2018) have elevated Psathyromyia Barretto, 1962 to generic rank. Therefore, the valid combination is Psathyromyia (Psathyromyia) shannoni (Dyar, 1929)."
BRUMPTOMYIA BRUMPTI;Brumptomyia brumpti (Larrousse, 1920);"Originally described by Larrousse (1920) under the name Phlebotomus brumpti based on specimens collected in Brazil. The species was later assigned as the type species of the genus Brumptomyia by França and Parrot (1921). The taxonomic status is widely accepted in modern Neotropical sand fly classification systems (Galati, 2003; Young & Duncan, 1994), which distinguish Brumptomyia from Lutzomyia based on the morphology of the male genitalia (specifically the presence of a basal tuft of setae on the coxite) and the cibarium in females."
MIGONEMYIA MIGONEI;Migonemyia migonei (França, 1920);Originally described as Phlebotomus migonei by França (1920) based on specimens collected in Paraguay. It was later reassigned to the genus Migonemyia by Galati (1995) during the phylogenetic reclassification of the subtribe Lutzomyiina. The species is the type species of the genus Migonemyia and is widely recognized under this binomen in current Neotropical dipterology (Galati, 2021).
NYSSOMYIA WHITMANI;Nyssomyia whitmani (Antunes & Coutinho, 1939);The species was originally described as Phlebotomus whitmani by Antunes and Coutinho (1939). It was later included in the genus Lutzomyia, subgenus Nyssomyia. Following the phylogenetic classification system proposed by Galati (2003), the subgenus Nyssomyia was elevated to the rank of genus. This taxonomic status is widely accepted in modern Neotropical dipterology and is supported by morphological and molecular evidence that distinguishes the Nyssomyia lineage from other Phlebotominae groups.
BRUMPTOMYIA AVELLARI;Brumptomyia avellari (Costa Lima, 1932);"The species was originally described by Costa Lima in 1932 under the binomen Phlebotomus avellari. Following the taxonomic restructuring of the subfamily Phlebotominae, specifically the elevation of Brumptomyia to generic status and the re-evaluation of morphological characters (such as the presence of a row of longitudinal setae on the male style), the species was formally reassigned to the genus Brumptomyia. This classification is currently upheld in the major taxonomic catalogs of Neotropical sand flies (Young & Duncan, 1994; Galati, 2003)."
LUTZOMYIA WHITMANI;Nyssomyia whitmani (Antunes & Coutinho, 1939);Originally described as Phlebotomus whitmani by Antunes and Coutinho (1939). It was subsequently included in the genus Lutzomyia, subgenus Nyssomyia, by various authors (Young & Duncan, 1994). Following the taxonomic reclassification of the subfamily Phlebotominae proposed by Galati (2003), the subgenus Nyssomyia was elevated to the genus level. This classification is currently the standard for Neotropical sand fly studies under project PINV01-528, confirming the valid name as Nyssomyia whitmani.
EVANDROMYIA EVANDROI;Evandromyia (Evandromyia) evandroi (Costa Lima & Antunes, 1936);Originally described as Phlebotomus evandroi by Costa Lima and Antunes (1936) based on specimens collected in São Paulo, Brazil. The species was later reassigned to the genus Evandromyia Mangabeira, 1941. Under the classification system proposed by Galati (2003), it is the type species of the genus Evandromyia and belongs to the subgenus Evandromyia. The classification is justified by the morphological characteristics of the male terminalia (specifically the structure of the paramere and aedeagus) and the female spermathecae, which distinguish it from species in the genus Lutzomyia.
BRUMPTOMYIA GUIMARAESI;Brumptomyia guimaraesi (Coutinho & Barretto, 1941);"Originally described as Phlebotomus guimaraesi by Coutinho and Barretto (1941) based on specimens collected in the state of São Paulo, Brazil. The species was later transferred to the genus Brumptomyia (França & Parrot, 1921) as part of the taxonomic reorganization of the Neotropical Phlebotominae, which separated species associated with armadillo burrows and specific morphological traits (e.g., ascoid shape and male genitalia structure) from the genus Lutzomyia sensu lato. It is currently recognized as a valid species within the Brumptomyina subtribe (Galati, 2003; Shimabukuro et al., 2017)."
LUTZOMYIA NEIVAI;Nyssomyia neivai (Pinto, 1926);Originally described as Phlebotomus neivai by Pinto (1926), this species was long considered a junior synonym of Lutzomyia intermedia. However, Marcondes (1996) revalidated the species based on morphological differences in the female spermathecae and male terminalia, establishing the intermedia complex. Under the phylogenetic classification system proposed by Galati (2003), which is widely adopted in the Neotropics and supported by the PINV01-528 project framework, the subgenus Nyssomyia was elevated to the genus level. Therefore, the currently accepted combination is Nyssomyia neivai.
EVANDROMYIA CORTELEZZI;Evandromyia (Evandromyia) cortelezzii (Brèthes, 1923);The species was originally described by Brèthes (1923) under the genus Phlebotomus as Phlebotomus cortelezzii. Following the phylogenetic classification proposed by Galati (2003), it was placed within the genus Evandromyia Mangabeira, 1941, subgenus Evandromyia. It is the nominate species of the cortelezzii complex, which also includes E. sallesi and E. corumbaensis. The identification of females within this complex is particularly challenging due to high morphological similarity, often requiring the use of molecular tools or the association with sympatric males for definitive diagnostic resolution.
LUTZOMYIA PESSOAI;Pintomyia (Pintomyia) pessoai (Coutinho & Barretto, 1940);The species was originally described as Phlebotomus pessoai by Coutinho and Barretto (1940). For several decades, it was widely classified under the genus Lutzomyia (subgenus Pintomyia). However, according to the phylogenetic classification proposed by Galati (2003), which is extensively utilized in Neotropical sand fly studies, the subgenus Pintomyia was elevated to the status of genus. Therefore, the current valid name is Pintomyia (Pintomyia) pessoai (Coutinho & Barretto, 1940). This classification is supported by the morphological characteristics of the male genitalia (five long spines on the style and a short, thick paramere) and the female spermathecae.
BRUMPTOMYIA;Brumptomyia França & Parrot, 1921;"The genus Brumptomyia was established by França and Parrot (1921) to accommodate species previously classified under Phlebotomus that exhibited distinct morphological characteristics in the male genitalia, specifically the presence of a basal tuft of setae on the gonocoxite and a simplified paramere structure. The type species is Phlebotomus brumpti Larrousse, 1920. In modern Neotropical sand fly taxonomy, Brumptomyia is recognized as a valid genus within the tribe Phlebotomini, supported by comprehensive phylogenetic and morphological revisions (Galati, 2003; 2018; Young & Duncan, 1994)."
LUTZOMYIA LENTI;Evandromyia (Evandromyia) lenti (Mangabeira, 1938);La especie fue descrita originalmente por Mangabeira en 1938 bajo el nombre de Flebotomus lenti. Posteriormente, fue transferida al género Lutzomyia y clasificada dentro del subgénero Evandromyia por Young y Duncan (1994). Sin embargo, siguiendo la clasificación filogenética propuesta por Galati (2003), el subgénero fue elevado a nivel de género, estableciéndose el nombre actual como Evandromyia lenti. Esta clasificación es la más aceptada en los estudios taxonómicos contemporáneos de la fauna de flebotominos neotropicales.
PSATHYROMYIA SHANNONI;Psathyromyia (Psathyromyia) shannoni (Dyar, 1929);The species was originally described as Phlebotomus shannoni by Dyar (1929). It was later transferred to the genus Lutzomyia and eventually placed within the genus Psathyromyia based on the taxonomic revisions proposed by Barretto (1962). The current classification follows the phylogenetic and morphological criteria established by Galati (2003, 2018), which treats Psathyromyia as a distinct genus within the subtribe Psychodopygina. The species is the type species of the genus Psathyromyia.
PINTOMYIA PESSOAI;Pintomyia (Pintomyia) pessoai (Coutinho & Barretto, 1940);The species was originally described as Phlebotomus pessoai by Coutinho and Barretto (1940). It was subsequently included in the genus Lutzomyia, subgenus Pintomyia, by various authors during the late 20th century (Young & Duncan, 1994). Following the phylogenetic reclassification of the Phlebotominae subfamily proposed by Galati (2003), the subgenus Pintomyia was elevated to the status of a genus. Pintomyia pessoai is currently recognized as the type species of the pessoai series within the subgenus Pintomyia (Galati, 2021).
EVANDROMYIA;Evandromyia Mangabeira, 1941;"The genus Evandromyia was originally established by Mangabeira (1941) as a subgenus of Flebotomus. It was later elevated to genus status and redefined within the subtribe Psychodopygina by Galati (2003). Currently, it is subdivided into three subgenera: Evandromyia s. str., Aldamyia Galati, 1995, and Barrettomyia Martins & Silva, 1968. This taxonomic arrangement is widely accepted in Neotropical dipterology to categorize a specific group of sand flies characterized by the morphology of the spermathecae and the male genitalia (Galati, 2003; Shimabukuro et al., 2017)."
PINTOMYIA KUSCHELI;Pintomyia (Pintomyia) kuscheli (Forattini, 1954);"This species was originally described under the genus Phlebotomus by Forattini in 1954, based on specimens collected in Chile. Following the taxonomic restructuring of the Neotropical Phlebotominae, Galati (2003) placed the species within the genus Pintomyia Costa Lima, 1932, specifically in the nominate subgenus Pintomyia. This classification has been maintained in subsequent phylogenetic and taxonomic updates (Galati, 2018; 2021) and is the current standard for the project PINV01-528."
EVANDROMYIA CARMELINOI;Evandromyia (Aldamyia) carmelinoi (Ryan, Fraiha, Lainson & Shaw, 1986);The species was originally described under the name Psychodopygus carmelinoi by Ryan, Fraiha, Lainson, and Shaw (1986) from specimens collected in the state of Pará, Brazil. Following the taxonomic reclassification of the subtribe Lutzomyiina, the species was transferred to the genus Evandromyia Mangabeira, 1941, and placed within the subgenus Aldamyia Galati, 1995. This placement is justified by morphological characteristics of the male terminalia and the female spermathecae, which align with the Aldamyia series as defined by Galati (2003).
LUTZOMYIA INTERMEDIA;Nyssomyia intermedia (Lutz & Neiva, 1912);Originally described as Phlebotomus intermedius by Lutz and Neiva (1912). The species was later included in the genus Lutzomyia as Lutzomyia intermedia. However, following the phylogenetic classification proposed by Galati (2003), which is the standard for the PINV01-528 project, the species is currently placed in the genus Nyssomyia Barretto, 1962. This classification is based on specific morphological characters of the spermathecae in females and the terminalia in males. It is considered the type species of the genus Nyssomyia.
EVANDROMYIA ALDEMYIA TERMITOPHILA;Evandromyia (Aldemyia) termitophila (Martins, Falcão & Silva, 1964);Originally described as Phlebotomus termitophilus by Martins, Falcão & Silva (1964), this species was later reassigned to the genus Evandromyia, subgenus Aldemyia, following the phylogenetic classification system established by Galati (2003). The classification is based on specific morphological characters of the male genitalia (specifically the parameres and aedeagus) and the female spermathecae, which align with the Aldemyia series within the Evandromyia lineage.
LUTZOMYIA FISCHERI;Pintomyia (Pintomyia) fischeri (Pinto, 1926);The species was originally described by Pinto (1926) as Phlebotomus fischeri. While it was traditionally classified under the genus Lutzomyia for several decades, the current taxonomic stability follows the phylogenetic classification proposed by Galati (2003). Galati elevated the subgenus Pintomyia (Costa Lima, 1932) to the rank of genus, placing this species within the nominate subgenus. This classification is widely accepted in Neotropical dipterology and used by the Pan American Health Organization (PAHO).
LUTZOMYIA QUINQUEFER;Micropygomyia (Micropygomyia) quinquefer (Dyar, 1929);Originally described as Phlebotomus quinquefer by Dyar (1929). In the classification system proposed by Young and Duncan (1994), it was treated as Lutzomyia (Micropygomyia) quinquefer. However, following the phylogenetic classification by Galati (2003), which was updated and consolidated in Galati (2018), Micropygomyia Barretto, 1962 was elevated to the status of a genus. The species is currently recognized under the nominate subgenus Micropygomyia.
LUTZOMYIA MONTICOLA;Lutzomyia monticola (Costa Lima, 1932);The species was originally described by Costa Lima in 1932 as Phlebotomus monticolus. Following the taxonomic reorganization of the subfamily Phlebotominae, it was transferred to the genus Lutzomyia França, 1924. According to the classification systems of Young and Duncan (1994) and Galati (2003, 2018), the species is valid and serves as the type species for the monticola series within the subgenus Lutzomyia. The species is characterized by its distinct paramere structure and spermathecae morphology in the female.
EVANDROMYIA LENTI;Evandromyia (Evandromyia) lenti (Mangabeira, 1938);La especie fue descrita originalmente por Mangabeira en 1938 bajo el nombre de Phlebotomus lenti. Posteriormente, tras las revisiones taxonómicas de la subfamilia Phlebotominae, fue transferida al género Evandromyia Mangabeira, 1941. Según la clasificación filogenética propuesta por Galati (2003, 2021), se ubica dentro del subgénero Evandromyia, basándose en la morfología característica del cibario en las hembras (presencia de dientes horizontales y verticales bien desarrollados) y la estructura de los parámetros y el edeago en los machos.
PINTOMYIA FISCHERI;Pintomyia (Pintomyia) fischeri (Pinto, 1926);Originally described as Phlebotomus fischeri by Pinto (1926), the species was later reassigned to the genus Lutzomyia. However, following the phylogenetic reclassification of the subfamily Phlebotominae by Galati (2003), the species is currently recognized under the genus Pintomyia Costa Lima, 1932, and the subgenus Pintomyia. This taxonomic status is maintained in recent systematic revisions of Neotropical sand flies (Galati, 2018).
MICROPYGOMYIA QUINQUEFER;Micropygomyia (Micropygomyia) quinquefer (Dyar, 1929);Originally described as Phlebotomus quinquefer by Dyar (1929). In the classification system proposed by Young and Duncan (1994), it was treated as Lutzomyia (Micropygomyia) quinquefer. However, following the phylogenetic classification by Galati (2003), which was updated and consolidated in Galati (2018), Micropygomyia Barretto, 1962 was elevated to the status of a genus. The species is currently recognized under the nominate subgenus Micropygomyia.
