DEPARTMENT,DISTRICT,LOCALITY,YEAR,DATE,DISEASE,SPECIES_RAW,UTM_ZONE,UTM_HEMISPHERE,UTM_X,UTM_Y,LAT,LONG,GEOREFERENCING_TYPE,DATA_SOURCE,SPECIES_CLEAN,SPECIES_MATCHED,STATUS,CONFIDENCE,KINGDOM,PHYLUM,ORDER,FAMILY,GENUS,SPECIES,SPECIES_AI_Correct,Justification,Gemini_AI.app,GEOREFERENCING_TYPE_CLEAN,coordinateUncertaintyInMeters
ALTO PARANÁ,CIUDAD DEL ESTE,PABLO ROJAS,2002,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,738533,7177355,-25.5018375407238,-54.6268724467035,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
ALTO PARANÁ,CIUDAD DEL ESTE,AREA 8,2002,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,737781,7174550,-25.5272671746176,-54.6338525487398,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
CANINDEYÚ,LA PALOMA,MICROCENTRO,2002,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,742148,7329168,-24.1313844879536,-54.6172910507249,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
CANINDEYÚ,SALTO DEL GUAIRA,MICROCENTRO,2002,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,773153,7336440,-24.0607114413934,-54.3138218883143,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
PRESIDENTE HAYES,VILLA HAYES,REMANSITO,2003,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,444192,7217039,-25.1616421012077,-57.5537700113622,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
CANINDEYÚ,LA PALOMA,MICROCENTRO,2003,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,742148,7329168,-24.1313844879536,-54.6172910507249,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
CANINDEYÚ,SALTO DEL GUAIRA,,2003,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,773153,7336440,-24.0607114413934,-54.3138218883143,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
CANINDEYÚ,NUEVA ESPERANZA,TRONCAL 4,2003,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,718499,7284885,-24.5345136379423,-54.8431004120436,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
CANINDEYÚ,KATUETE,KUMANDACAI,2003,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,716893,7295158,-24.442021770759,-54.8605147455296,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
ALTO PARANÁ,CIUDAD DEL ESTE,CHE LA REINA,2004,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,737391,7178001,-25.4961922382108,-54.6383403833529,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
ALTO PARANÁ,CIUDAD DEL ESTE,LA FLORESTA,2004,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,738883,7175170.31,-25.5214928746996,-54.623004403009,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
ALTO PARANÁ,CIUDAD DEL ESTE,AREA 5,2004,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,739480,7171906,-25.5508489511195,-54.6164856216309,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
ALTO PARANÁ,CIUDAD DEL ESTE,AREA 1,2004,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,737514,7175579,-25.5180256517041,-54.6366896198197,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
